Category: ALL
LR: 0.0001
Weight Decay: 0.0
Batch: 8
Epochs: 30
Hidden1: 64
Hidden2: 64
Hidden3: 64
Dropout: 0.5
Negative Slope: 0.05
Subjects: 212
Total time (s): 2119.85
+------+---------+--------+-------------+------------+
|  CG  | Avg MSE | SD MSE | Avg Pearson | SD Pearson |
+------+---------+--------+-------------+------------+
|  AD  |  0.0029 | 0.0027 |    0.9613   |   0.0179   |
| LMCI |  0.0062 | 0.0222 |    0.9164   |   0.1821   |
| MCI  |  0.0092 | 0.0093 |    0.7641   |   0.2775   |
| EMCI |  0.0064 | 0.0203 |    0.915    |   0.1976   |
|  CN  |  0.0043 | 0.0099 |    0.9391   |   0.1017   |
| ALL  |  0.0058 | 0.0163 |    0.905    |   0.188    |
+------+---------+--------+-------------+------------+
+-------------------------------------------------------------------+--------+---------+
|                                 ID                                |  MSE   | Pearson |
+-------------------------------------------------------------------+--------+---------+
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-AD4009/  | 0.0013 |  0.935  |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-AD4089/  | 0.0017 |  0.9494 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-AD4136/  | 0.0082 |  0.9496 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-AD4215/  | 0.0122 |  0.9742 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-AD4494/  | 0.0022 |  0.961  |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-AD4500/  | 0.0017 |  0.9707 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-AD4568/  | 0.0071 |  0.9741 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-AD4591/  | 0.0007 |  0.946  |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-AD4686/  | 0.0022 |  0.9623 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-AD6013/  | 0.0009 |  0.9847 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-AD6100/  | 0.0022 |  0.973  |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-AD6142/  | 0.0009 |  0.9824 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-AD6179/  | 0.0009 |  0.9531 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-AD6216/  | 0.0017 |  0.9656 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-AD6264/  | 0.0011 |  0.9273 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-AD6347/  | 0.0031 |  0.9871 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-AD6377/  | 0.0057 |  0.969  |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-AD6389/  | 0.0033 |  0.9465 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-AD6433/  | 0.0039 |  0.9649 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-AD6549/  | 0.0034 |  0.9132 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-AD6683/  | 0.0024 |  0.9745 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-AD6721/  | 0.0016 |  0.9761 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-AD6784/  | 0.0006 |  0.9696 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-AD6796/  | 0.0011 |  0.9623 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-CN0031/  | 0.0026 |  0.918  |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-CN0074/  | 0.0037 |  0.9737 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-CN0120/  | 0.0051 |  0.9525 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-CN0337/  | 0.001  |  0.9457 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-CN0419/  | 0.0009 |  0.9468 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-CN0602/  | 0.0012 |  0.9365 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-CN0610/  | 0.0008 |  0.9785 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-CN0751/  | 0.0007 |  0.9752 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-CN1190/  | 0.0016 |  0.8307 |
|  /net/tscratch/people/plgmwardynski/ADNI_derivatives/sub-CN1261/  | 0.0006 |  0.9786 |
