Category: ALL
Cores: 10
Subjects: 212
Training set size: 211
Testing set size: 1
Lambda coefficient: 0.0
Matrix: I
Binary matrix: yes
Iterations per patient: 3000000
Folds: 212
Elapsed time for training (s): 5681.66
Total time (s): 5869.31
+------+---------------+-------------+------------------+-----------------+
|  CG  | Avg MSE test  | SD MSE test | Avg Pearson test | SD Pearson test |
+------+---------------+-------------+------------------+-----------------+
|  AD  |     0.0034    |     0.0     |      0.9664      |       0.02      |
| LMCI |     0.0066    |     0.02    |      0.9232      |       0.18      |
| MCI  |     0.0105    |     0.01    |      0.7684      |       0.28      |
| EMCI |     0.0065    |     0.02    |      0.9167      |       0.2       |
|  CN  |     0.0044    |     0.01    |      0.9457      |       0.1       |
| ALL  |     0.0062    |     0.02    |      0.9097      |       0.19      |
+------+---------------+-------------+------------------+-----------------+
+---------------------------------------------------------------------------+---------------+-------------------+
|                                     ID                                    | Avg MSE train | Avg Pearson train |
+---------------------------------------------------------------------------+---------------+-------------------+
|  /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-AD4009/  |     0.0013    |       0.9341      |
|  /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-AD4089/  |     0.0022    |       0.9448      |
|  /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-AD4136/  |     0.0019    |       0.8731      |
|  /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-AD4215/  |     0.0052    |       0.8327      |
|  /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-AD4494/  |     0.0016    |       0.9136      |
|  /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-AD4500/  |     0.0008    |       0.9774      |
|  /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-AD4568/  |     0.0031    |       0.8477      |
|  /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-AD4591/  |     0.0007    |       0.9538      |
|  /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-AD4686/  |     0.0016    |       0.8707      |
|  /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-AD6013/  |     0.0005    |       0.9853      |
|  /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-AD6100/  |     0.0013    |       0.9484      |
|  /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-AD6142/  |     0.0009    |       0.9677      |
