Category: ALL
Cores: 10
mu: 0.000313248
lambdaD: 2.21132399
I_percentage: 1
NSteps: 50
Weights threshold: 0.0
Weights threshold mode: NO
Subjects: 212
Total time (s): 3894.31
Triangles count: 10955.75
+------+---------+--------+-------------+------------+
|  CG  | Avg MSE | SD MSE | Avg Pearson | SD Pearson |
+------+---------+--------+-------------+------------+
|  AD  |  0.003  |  0.0   |    0.9662   |    0.02    |
| LMCI |  0.0064 |  0.02  |    0.9225   |    0.18    |
| MCI  |  0.0107 |  0.01  |    0.7677   |    0.28    |
| EMCI |  0.0064 |  0.02  |    0.9163   |    0.2     |
|  CN  |  0.0044 |  0.01  |    0.9453   |    0.1     |
| ALL  |  0.0061 |  0.02  |    0.9093   |    0.19    |
+------+---------+--------+-------------+------------+
+---------------------------------------------------------------------------------+--------+---------+
|                                        ID                                       |  MSE   | Pearson |
+---------------------------------------------------------------------------------+--------+---------+
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-AD4009/  | 0.0014 |  0.9351 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-AD4089/  | 0.0023 |  0.9637 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-AD4136/  | 0.0068 |  0.9483 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-AD4215/  | 0.0144 |  0.9713 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-AD4494/  | 0.0027 |  0.975  |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-AD4500/  | 0.0008 |  0.978  |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-AD4568/  | 0.008  |  0.9778 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-AD4591/  | 0.0007 |  0.9531 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-AD4686/  | 0.0046 |  0.9743 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-AD6013/  | 0.0006 |  0.9824 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-AD6100/  | 0.0026 |  0.9797 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-AD6142/  | 0.0019 |  0.9815 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-AD6179/  | 0.0013 |  0.9575 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-AD6216/  | 0.0012 |  0.9765 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-AD6264/  | 0.0009 |  0.9256 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-AD6347/  | 0.0015 |  0.9889 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-AD6377/  | 0.005  |  0.9666 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-AD6389/  | 0.003  |  0.9572 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-AD6433/  | 0.0044 |  0.9727 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-AD6549/  | 0.0042 |  0.9167 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-AD6683/  | 0.0017 |  0.9798 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-AD6721/  | 0.0004 |  0.9802 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-AD6784/  | 0.0006 |  0.9747 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-AD6796/  | 0.0007 |  0.9718 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN0031/  | 0.0006 |  0.9347 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN0074/  | 0.0053 |  0.9726 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN0120/  | 0.0048 |  0.9531 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN0337/  | 0.0029 |  0.9608 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN0419/  | 0.001  |  0.9486 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN0602/  | 0.0009 |  0.9428 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN0610/  | 0.001  |  0.9782 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN0751/  | 0.0006 |  0.9828 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN1190/  | 0.001  |  0.8215 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN1261/  | 0.0007 |  0.9846 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN1280/  | 0.0014 |  0.9741 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN4081/  | 0.0006 |  0.9788 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN4084/  | 0.0719 |  0.2515 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN4105/  | 0.0006 |  0.9783 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN4119/  | 0.008  |  0.9754 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN4121/  | 0.0006 |  0.9721 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN4164/  | 0.0006 |  0.9638 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN4213/  | 0.0008 |  0.9639 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN4225/  | 0.0005 |  0.984  |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN4276/  | 0.0007 |  0.9647 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN4278/  | 0.0005 |  0.9694 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN4288/  | 0.0069 |  0.9106 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN4350/  | 0.0008 |  0.964  |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN4387/  | 0.0075 |  0.9631 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN4388/  | 0.0008 |  0.9782 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN4401/  | 0.0016 |  0.9852 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN4441/  | 0.0025 |  0.9664 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN4448/  | 0.0006 |  0.9147 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN4488/  | 0.0154 |  0.9779 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN4516/  | 0.0008 |  0.9886 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN4576/  | 0.0011 |  0.9573 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN4620/  | 0.0008 |  0.974  |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN4637/  | 0.0005 |  0.9788 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN4643/  | 0.0192 |  0.9558 |
|  /Users/mwardynski/Documents/ds/_semestr_8/pp/ADNI_derivatives_ALL/sub-CN4872/  | 0.0008 |  0.966  |
