Category: CN
LR: 0.0001
Weight Decay: 1e-05
Batch: 16
Epochs: 90
Hidden1: 64
Hidden2: 128
Hidden3: 16
Dropout: 0.5
Negative Slope: 0.2
Subjects: 51
Total time (s): 501.68
+----+---------+--------+-------------+------------+
| CG | Avg MSE | SD MSE | Avg Pearson | SD Pearson |
+----+---------+--------+-------------+------------+
| CN |  0.0043 | 0.0105 |    0.9442   |   0.1004   |
+----+---------+--------+-------------+------------+
+---------------------------------------------------------------+--------+---------+
|                               ID                              |  MSE   | Pearson |
+---------------------------------------------------------------+--------+---------+
| /net/afscra/people/plgmwardynski/ADNI_derivatives/sub-CN0031/ | 0.0015 |  0.9311 |
| /net/afscra/people/plgmwardynski/ADNI_derivatives/sub-CN0074/ | 0.005  |  0.9742 |
| /net/afscra/people/plgmwardynski/ADNI_derivatives/sub-CN0120/ | 0.0052 |  0.9535 |
| /net/afscra/people/plgmwardynski/ADNI_derivatives/sub-CN0337/ | 0.0014 |  0.9554 |
| /net/afscra/people/plgmwardynski/ADNI_derivatives/sub-CN0419/ | 0.0011 |  0.9488 |
| /net/afscra/people/plgmwardynski/ADNI_derivatives/sub-CN0602/ | 0.0009 |  0.9426 |
| /net/afscra/people/plgmwardynski/ADNI_derivatives/sub-CN0610/ | 0.001  |  0.9785 |
| /net/afscra/people/plgmwardynski/ADNI_derivatives/sub-CN0751/ | 0.0006 |  0.9794 |
| /net/afscra/people/plgmwardynski/ADNI_derivatives/sub-CN1190/ | 0.001  |  0.8351 |
| /net/afscra/people/plgmwardynski/ADNI_derivatives/sub-CN1261/ | 0.0006 |  0.9814 |
| /net/afscra/people/plgmwardynski/ADNI_derivatives/sub-CN1280/ | 0.0011 |  0.9765 |
| /net/afscra/people/plgmwardynski/ADNI_derivatives/sub-CN4081/ | 0.0008 |  0.9753 |
| /net/afscra/people/plgmwardynski/ADNI_derivatives/sub-CN4084/ | 0.071  |  0.2718 |
| /net/afscra/people/plgmwardynski/ADNI_derivatives/sub-CN4105/ | 0.0006 |  0.9771 |
| /net/afscra/people/plgmwardynski/ADNI_derivatives/sub-CN4119/ | 0.0064 |  0.9745 |
