Category: CN
Cores: 10
Subjects: 51
Training set size: 50
Testing set size: 1
Lambda coefficient: 0.0
Matrix: I
Binary matrix: yes
Iterations per patient: 3000000
Folds: 51
Elapsed time for training (s): 1578.95
Total time (s): 1620.37
+----+---------------+-------------+------------------+-----------------+
| CG | Avg MSE test  | SD MSE test | Avg Pearson test | SD Pearson test |
+----+---------------+-------------+------------------+-----------------+
| CN |     0.0046    |     0.01    |      0.9442      |       0.1       |
+----+---------------+-------------+------------------+-----------------+
+-------------------------------------------------------------------------+---------------+-------------------+
|                                    ID                                   | Avg MSE train | Avg Pearson train |
+-------------------------------------------------------------------------+---------------+-------------------+
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-CN0031/ |     0.0005    |       0.9061      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-CN0074/ |     0.0021    |       0.918       |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-CN0120/ |     0.0023    |       0.9206      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-CN0337/ |     0.0014    |       0.9147      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-CN0419/ |     0.0008    |       0.9471      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-CN0602/ |     0.0009    |       0.9435      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-CN0610/ |     0.0007    |       0.9772      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-CN0751/ |     0.0007    |       0.9783      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-CN1190/ |     0.0008    |       0.8353      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-CN1261/ |     0.0006    |       0.9788      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-CN1280/ |     0.0009    |       0.9671      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-CN4081/ |     0.0006    |       0.9776      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-CN4084/ |     0.0606    |      -0.0549      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-CN4105/ |     0.0005    |       0.9783      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-CN4119/ |     0.0034    |       0.8645      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-CN4121/ |     0.0004    |       0.9683      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-CN4164/ |     0.0003    |       0.955       |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-CN4213/ |     0.0007    |       0.9686      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-CN4225/ |     0.0005    |       0.9859      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-CN4276/ |     0.0007    |       0.9598      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-CN4278/ |     0.0004    |       0.9694      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-CN4288/ |     0.0037    |       0.7994      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-CN4350/ |     0.0006    |       0.9604      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-CN4387/ |     0.0043    |       0.9083      |
